vehicle_make,accident_year,vehicles_in_collisions
MAKE MISSING,2019,59235
MAKE MISSING,2018,56099
MAKE MISSING,2021,48443
MAKE MISSING,2020,47643
MAKE MISSING,2022,47009
FORD,2018,22788
FORD,2019,20704
VAUXHALL,2018,19308
FORD,2022,17690
VAUXHALL,2019,17498
FORD,2021,17468
FORD,2020,15564
VAUXHALL,2022,13713
VOLKSWAGEN,2018,13567
VAUXHALL,2021,13273
VAUXHALL,2020,12850
VOLKSWAGEN,2019,12635
VOLKSWAGEN,2022,11604
VOLKSWAGEN,2021,11014
VOLKSWAGEN,2020,9789
BMW,2018,9615
MERCEDES,2018,9421
MERCEDES,2022,9214
BMW,2019,9200
BMW,2022,9009
MERCEDES,2019,8931
TOYOTA,2018,8787
BMW,2021,8780
MERCEDES,2021,8700
TOYOTA,2022,8657
TOYOTA,2019,8599
HONDA,2022,8567
HONDA,2018,8431
HONDA,2021,7949
HONDA,2019,7932
TOYOTA,2021,7931
PEUGEOT,2018,7853
BMW,2020,7654
MERCEDES,2020,7401
AUDI,2018,7144
AUDI,2019,7025
AUDI,2022,6925
PEUGEOT,2019,6895
HONDA,2020,6792
AUDI,2021,6552
TOYOTA,2020,6421
RENAULT,2018,6208
NISSAN,2018,6118
PEUGEOT,2022,5717
NISSAN,2019,5652
NISSAN,2022,5637
AUDI,2020,5496
PEUGEOT,2021,5410
RENAULT,2019,5341
NISSAN,2021,5150
PEUGEOT,2020,4978
CITROEN,2018,4928
CITROEN,2019,4435
NISSAN,2020,4416
RENAULT,2022,4019
RENAULT,2021,4005
RENAULT,2020,3822
CITROEN,2022,3675
CITROEN,2021,3530
YAMAHA,2022,3432
VOLVO,2018,3346
SKODA,2018,3332
YAMAHA,2021,3199
FIAT,2018,3186
KIA,2022,3154
CITROEN,2020,3047
HYUNDAI,2022,2997
SKODA,2019,2985
FIAT,2019,2923
VOLVO,2019,2910
HYUNDAI,2018,2871
SKODA,2022,2820
VOLVO,2022,2760
HYUNDAI,2019,2758
SEAT,2018,2722
SUZUKI,2018,2713
YAMAHA,2018,2623
KIA,2019,2623
KIA,2018,2611
SEAT,2019,2596
SEAT,2022,2585
SUZUKI,2019,2567
SKODA,2021,2553
SEAT,2021,2521
