make,year,vehicle_numbers,vehicle_percentage_of_total
FORD,2018,5490029,13.95%
FORD,2019,5481998,13.74%
FORD,2020,5406876,13.58%
FORD,2021,5376802,13.35%
FORD,2022,5360534,13.17%
VAUXHALL,2018,3867962,9.83%
VAUXHALL,2019,3771072,9.45%
VAUXHALL,2020,3630999,9.12%
VOLKSWAGEN,2022,3535652,8.69%
VAUXHALL,2021,3520006,8.74%
VOLKSWAGEN,2021,3496011,8.68%
VOLKSWAGEN,2020,3444251,8.65%
VOLKSWAGEN,2019,3423823,8.58%
VAUXHALL,2022,3422151,8.41%
VOLKSWAGEN,2018,3352386,8.52%
MERCEDES,2022,2169621,5.33%
MERCEDES,2021,2143741,5.32%
BMW,2022,2116707,5.20%
MERCEDES,2020,2083868,5.24%
BMW,2021,2074709,5.15%
MERCEDES,2019,2042633,5.12%
BMW,2020,2024142,5.09%
BMW,2019,1996764,5.01%
MERCEDES,2018,1944599,4.94%
BMW,2018,1921679,4.88%
AUDI,2022,1913015,4.70%
AUDI,2021,1854173,4.60%
PEUGEOT,2018,1827200,4.64%
TOYOTA,2022,1819777,4.47%
PEUGEOT,2019,1798209,4.51%
NISSAN,2022,1791529,4.40%
AUDI,2020,1789904,4.50%
TOYOTA,2021,1763052,4.38%
NISSAN,2021,1760031,4.37%
AUDI,2019,1755808,4.40%
PEUGEOT,2020,1752528,4.40%
NISSAN,2020,1731174,4.35%
PEUGEOT,2021,1731065,4.30%
NISSAN,2019,1723763,4.32%
TOYOTA,2020,1713203,4.30%
PEUGEOT,2022,1711378,4.21%
TOYOTA,2019,1701018,4.26%
NISSAN,2018,1693884,4.30%
AUDI,2018,1693617,4.30%
TOYOTA,2018,1668375,4.24%
RENAULT,2018,1380945,3.51%
HONDA,2018,1350827,3.43%
HONDA,2019,1340301,3.36%
RENAULT,2019,1327463,3.33%
HONDA,2020,1312747,3.30%
CITROEN,2018,1304937,3.32%
HONDA,2021,1296445,3.22%
CITROEN,2019,1286273,3.22%
HONDA,2022,1282472,3.15%
RENAULT,2020,1269192,3.19%
CITROEN,2020,1252204,3.15%
CITROEN,2021,1232974,3.06%
RENAULT,2021,1227501,3.05%
CITROEN,2022,1215163,2.99%
RENAULT,2022,1203046,2.96%
KIA,2022,1055441,2.59%
HYUNDAI,2022,1019976,2.51%
KIA,2021,980045,2.43%
