"BodyType","Make","Year","car_numbers"
Cars,ABARTH,2018,22162
Cars,ABARTH,2019,24891
Cars,ABARTH,2020,26500
Cars,ABARTH,2021,28069
Cars,ABARTH,2022,29307
Heavy goods vehicles,ABARTH,2018,1
Heavy goods vehicles,ABARTH,2019,1
Heavy goods vehicles,ABARTH,2020,1
Heavy goods vehicles,ABARTH,2021,1
Heavy goods vehicles,ABARTH,2022,1
Cars,AC,2018,167
Cars,AC,2019,179
Cars,AC,2020,179
Cars,AC,2021,183
Cars,AC,2022,197
Heavy goods vehicles,AC,2018,0
Heavy goods vehicles,AC,2019,0
Heavy goods vehicles,AC,2020,0
Heavy goods vehicles,AC,2021,1
Heavy goods vehicles,AC,2022,1
Light goods vehicles,AC,2018,1
Light goods vehicles,AC,2019,1
Light goods vehicles,AC,2020,2
Light goods vehicles,AC,2021,1
Light goods vehicles,AC,2022,1
Other vehicles,AC,2018,5
Other vehicles,AC,2019,5
Other vehicles,AC,2020,5
Other vehicles,AC,2021,6
Other vehicles,AC,2022,6
Cars,ACCESS,2018,0
Cars,ACCESS,2019,1
Cars,ACCESS,2020,4
Cars,ACCESS,2021,4
Cars,ACCESS,2022,5
Light goods vehicles,ACCESS,2018,8
Light goods vehicles,ACCESS,2019,4
Light goods vehicles,ACCESS,2020,8
Light goods vehicles,ACCESS,2021,7
Light goods vehicles,ACCESS,2022,6
Motorcycles,ACCESS,2018,0
Motorcycles,ACCESS,2019,0
Motorcycles,ACCESS,2020,0
Motorcycles,ACCESS,2021,0
Motorcycles,ACCESS,2022,1
Other vehicles,ACCESS,2018,113
Other vehicles,ACCESS,2019,82
Other vehicles,ACCESS,2020,118
Other vehicles,ACCESS,2021,79
Other vehicles,ACCESS,2022,65
Cars,AC (ELECTRIC),2018,182
Cars,AC (ELECTRIC),2019,185
Cars,AC (ELECTRIC),2020,183
Cars,AC (ELECTRIC),2021,190
Cars,AC (ELECTRIC),2022,187
Light goods vehicles,AC (ELECTRIC),2018,1
Light goods vehicles,AC (ELECTRIC),2019,1
Light goods vehicles,AC (ELECTRIC),2020,1
Light goods vehicles,AC (ELECTRIC),2021,1
Light goods vehicles,AC (ELECTRIC),2022,1
Other vehicles,AC (ELECTRIC),2018,18
Other vehicles,AC (ELECTRIC),2019,20
Other vehicles,AC (ELECTRIC),2020,24
Other vehicles,AC (ELECTRIC),2021,24
Other vehicles,AC (ELECTRIC),2022,25
Cars,ACURA,2018,36
Cars,ACURA,2019,40
Cars,ACURA,2020,39
Cars,ACURA,2021,36
Cars,ACURA,2022,24
Light goods vehicles,ACURA,2018,2
Light goods vehicles,ACURA,2019,2
Light goods vehicles,ACURA,2020,0
Light goods vehicles,ACURA,2021,0
Light goods vehicles,ACURA,2022,0
Light goods vehicles,ADDAX,2018,0
Light goods vehicles,ADDAX,2019,0
Light goods vehicles,ADDAX,2020,0
Light goods vehicles,ADDAX,2021,0
Light goods vehicles,ADDAX,2022,4
Light goods vehicles,ADLY,2018,4
Light goods vehicles,ADLY,2019,5
Light goods vehicles,ADLY,2020,9
Light goods vehicles,ADLY,2021,6
Light goods vehicles,ADLY,2022,8
Motorcycles,ADLY,2018,32
Motorcycles,ADLY,2019,28
Motorcycles,ADLY,2020,21
Motorcycles,ADLY,2021,14
Motorcycles,ADLY,2022,10
Other vehicles,ADLY,2018,32
Other vehicles,ADLY,2019,27
Other vehicles,ADLY,2020,29
Other vehicles,ADLY,2021,26
Other vehicles,ADLY,2022,25
Cars,ADRIA,2018,0
Cars,ADRIA,2019,0
Cars,ADRIA,2020,0
Cars,ADRIA,2021,0
Cars,ADRIA,2022,0
Heavy goods vehicles,ADRIA,2018,43
Heavy goods vehicles,ADRIA,2019,72
Heavy goods vehicles,ADRIA,2020,113
Heavy goods vehicles,ADRIA,2021,228
Heavy goods vehicles,ADRIA,2022,287
Light goods vehicles,ADRIA,2018,111
Light goods vehicles,ADRIA,2019,223
Light goods vehicles,ADRIA,2020,340
Light goods vehicles,ADRIA,2021,556
Light goods vehicles,ADRIA,2022,595
Heavy goods vehicles,AEBI,2018,0
Heavy goods vehicles,AEBI,2019,1
Heavy goods vehicles,AEBI,2020,1
Heavy goods vehicles,AEBI,2021,1
Heavy goods vehicles,AEBI,2022,0
Light goods vehicles,AEBI,2018,0
Light goods vehicles,AEBI,2019,0
Light goods vehicles,AEBI,2020,0
Light goods vehicles,AEBI,2021,0
Light goods vehicles,AEBI,2022,0
Other vehicles,AEBI,2018,104
Other vehicles,AEBI,2019,111
Other vehicles,AEBI,2020,119
Other vehicles,AEBI,2021,121
Other vehicles,AEBI,2022,122
Cars,AEON,2018,2
